_id,link,license,language,licenseConflicts
6467fa4f13df3d68492c5b85,https://github.com/google/model-viewer,Apache License 2.0,TypeScript,2
6467f98c13df3d68492c5b7d,https://github.com/google/TrustScore,Apache License 2.0,Jupyter Notebook,31
6467fa5813df3d68492c5b87,https://github.com/google/GiftStick,Apache License 2.0,Python,2
6467fa7313df3d68492c5b8b,https://github.com/google/amber,Apache License 2.0,C++,3
6467fbb513df3d68492c5b99,https://github.com/microsoft/adfsWebCustomization,MIT License,JavaScript,16
6467fc2413df3d68492c5b9f,https://github.com/microsoft/Windows-appsample-remote-system-sessions,MIT License,C#,4
6467ff2113df3d68492c5baf,https://github.com/alibaba/asyncload,Apache License 2.0,Java,4
646806c613df3d68492c5bcf,https://github.com/google/earthengine-community,Apache License 2.0,Jupyter Notebook,2
646806e813df3d68492c5bd1,https://github.com/google/ml-fairness-gym,Apache License 2.0,Python,10
6467f6f713df3d68492c5b5f,https://github.com/google/oatts,Apache License 2.0,JavaScript,8
6467fc1813df3d68492c5b9b,https://github.com/microsoft/DbgShell,MIT License,C#,42
6468099913df3d68492c5be9,https://github.com/apache/pluto,Apache License 2.0,,440
6467f77513df3d68492c5b6f,https://github.com/microsoft/OpenAPI.NET,MIT License,C#,2
6467fc1e13df3d68492c5b9d,https://github.com/microsoft/print-oem-samples,MIT License,C++,2
6467ff0613df3d68492c5bab,https://github.com/google/codewords,Apache License 2.0,TypeScript,1
646805de13df3d68492c5bc1,https://github.com/alibaba/TProfiler,GNU General Public License v2.0,Java,62
6468061913df3d68492c5bc3,https://github.com/alibaba/simpleimage,Apache License 2.0,Java,116
6467f73613df3d68492c5b65,https://github.com/microsoft/azure-maven-plugins,MIT License,Java,66
6467f88613df3d68492c5b73,https://github.com/microsoft/elastic-db-tools-for-java,MIT License,Java,4
6467fe8513df3d68492c5ba9,https://github.com/microsoft/envoy,Apache License 2.0,C++,276
6467f99313df3d68492c5b7f,https://github.com/microsoft/LWE_Library,MIT License,C,1
6467fddb13df3d68492c5ba7,https://github.com/microsoft/OpenAPI.NET.OData,MIT License,C#,29
6468066a13df3d68492c5bc7,https://github.com/google/driblet,Apache License 2.0,Python,33
6467fd0113df3d68492c5ba1,https://github.com/microsoft/samples-for-ai,MIT License,C#,279
6467f70c13df3d68492c5b63,https://github.com/google/jws,Apache License 2.0,Python,2
6467ff6613df3d68492c5bb1,https://github.com/google/TensorNetwork,Apache License 2.0,Python,6
646801e913df3d68492c5bb7,https://github.com/microsoft/DualLearning,MIT License,Python,17
64680f5213df3d68492c5bed,https://github.com/microsoft/VSDebugAdapterHost,MIT License,C#,11
646801c813df3d68492c5bb5,https://github.com/alibaba/fastjson,Apache License 2.0,Java,19
6467f8d213df3d68492c5b75,https://github.com/microsoft/uprove-csharp-sdk,Apache License 2.0,C#,40
646805bb13df3d68492c5bbd,https://github.com/google/private-join-and-compute,Apache License 2.0,C++,73
6468064c13df3d68492c5bc5,https://github.com/google/struct2tensor,Apache License 2.0,Python,35
6468067913df3d68492c5bc9,https://github.com/microsoft/PQCrypto-LWEKE,MIT License,C,17
64680f6313df3d68492c5bef,https://github.com/microsoft/spatial-computing,MIT License,C#,1
64680ff913df3d68492c5bf3,https://github.com/google/airdialogue,Apache License 2.0,Python,384
6468100b13df3d68492c5bf7,https://github.com/microsoft/sarif-visualstudio-extension,MIT License,C#,3
646813e313df3d68492c5c09,https://github.com/apache/jsecurity,Apache License 2.0,Java,324
6468125a13df3d68492c5c03,https://github.com/apache/commons-codec,Apache License 2.0,Java,19
646814a913df3d68492c5c0d,https://github.com/apache/commons-io,Apache License 2.0,Java,114
64680ffd13df3d68492c5bf5,https://github.com/microsoft/diskspd-for-linux,MIT License,C++,2
6468131e13df3d68492c5c07,https://github.com/apache/xmlgraphics-commons,Apache License 2.0,Java,200
6468153313df3d68492c5c11,https://github.com/apache/httpcomponents-client,Apache License 2.0,Java,185
6468102f13df3d68492c5bf9,https://github.com/microsoft/sarif-vscode-extension,MIT License,TypeScript,18
6468103f13df3d68492c5bfd,https://github.com/microsoft/powerbi-powershell,MIT License,C#,4
6468121913df3d68492c5c01,https://github.com/google/perfetto,Apache License 2.0,C++,1504
6468140813df3d68492c5c0b,https://github.com/alibaba/badgeboard,MIT License,JavaScript,74
6468199f13df3d68492c5c25,https://github.com/google/identity-credential,Apache License 2.0,Java,1
6468167c13df3d68492c5c19,https://github.com/google/cloud-forensics-utils,Apache License 2.0,Python,729
6468198413df3d68492c5c21,https://github.com/alibaba/swarm,Apache License 2.0,Go,3
64681ec213df3d68492c5c46,https://github.com/apache/commons-cli,Apache License 2.0,Java,1
64681e3d13df3d68492c5c42,https://github.com/apache/commons-logging,Apache License 2.0,Java,5
